"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34"
"1","range","CuTot","SBI","CuPro","CuPl","Ssk","Sku","Stxr1","rEnt","east","rEnt","nor","nmodes","TPIv1","nmodes","Sdc","Std2","Ssc","Svk","Sds","Srw2","Spk","Srw3","Sdr","Sdr","Stxr2","SAR","MAD","stdv","Sdq","Sv","range","Smean","CuPro"
"2","stdv","Stxr2","SCI","TPIv1","Srw3","Ssc","rEnt","Stxr2","east","CuPl","Srw3","rEnt","Ssk","SBI","Sku","Spk","Sfd","Sdc","Sdc","SBI","Sds","MAD","Slope","VRM","Sfd","Stxr1","Sdr","SBI","Slope","Slope","SCI","Sv","SCI","CuPl"
"3","Slope","Srw2","Sv","CuPl","nmodes","Stxr1","nmodes","nmodes","nor","TPIv1","Ssc","Ssk","Srw2","Sds","Sdc","Ssk","Sdr","VRM","Ssk","Srw3","Sfd","Sdc","MAD","Sfd","CuTot","Sk","Slope","Sk","Sdq","stdv","range","Sk","Sv","Sds"
"4","Sk","Stxr1","Smean","Svk","CuPro","Stxr2","east","Srw3","Sku","Sku","nor","Ssc","east","Ssk","Ssc","MAD","Srw3","Srw2","Sku","Srw2","CuTot","Svk","Srw2","Slope","TPIv1","Sdq","Sk","Stxr2","MAD","MAD","Sk","SCI","range","CuTot"
"5","SAR","Std2","VRM","Sdr","Sku","Sku","Srw3","CuTot","Srw3","CuTot","CuTot","TPIv1","Ssc","Ssc","Std2","Sfd","Sds","SBI","Spk","Sfd","TPIv1","Sk","VRM","SBI","Sk","MAD","Sdq","Stxr1","Spk","Spk","Spk","Spk","Sdc","TPIv1"
"6","MAD","CuPro","Ssk","Sds","nor","TPIv1","Ssc","rEnt","MAD","nor","Ssk","SBI","Sfd","CuTot","VRM","VRM","Ssc","Srw3","stdv","SAR","Srw3","VRM","SAR","Sdq","VRM","range","Sds","CuTot","Sk","VRM","Svk","Svk","stdv","Svk"
"7","Sdq","TPIv1","Stxr2","Sfd","Sfd","VRM","Stxr1","SBI","Sk","rEnt","east","CuPl","Sdr","CuPl","Srw2","Sds","Svk","Sk","MAD","Std2","VRM","Sku","Ssc","CuTot","range","CuTot","Sdc","Sdq","Sdc","Sdc","stdv","Smean","Sk","Stxr1"
"8","Sdc","SBI","Spk","Std2","Sdr","Sds","TPIv1","Ssc","Sfd","CuPro","Svk","east","Srw3","Svk","TPIv1","Sk","VRM","nmodes","SAR","Sdc","Sk","range","Sk","Svk","Stxr2","Slope","Sfd","TPIv1","range","Svk","Smean","MAD","MAD","Stxr2"
"9","Spk","VRM","Sdq","CuTot","east","Spk","Stxr2","Svk","Svk","Ssk","TPIv1","Srw3","CuPro","Std2","SBI","Svk","Stxr1","SCI","VRM","MAD","CuPro","Slope","stdv","TPIv1","SAR","TPIv1","range","SAR","Svk","range","MAD","Slope","Sdq","east"
"10","Smean","Srw3","Stxr1","Sk","SCI","nmodes","CuPl","CuPro","Sdr","Svk","Spk","CuTot","CuPl","VRM","MAD","TPIv1","SAR","Sv","SBI","stdv","Sku","Std2","TPIv1","SAR","Stxr1","Std2","VRM","range","SAR","Sk","Slope","Sdc","Slope","VRM"
