"","sa_1","sq_1","s10z_1","sdq_1","sdq6_1","sdr_1","sbi_1","sci_1","ssk_1","sku_1","sds_1","sfd_1","srw_2","srw_3","std_1","std_2","svi_1","stxr_1","stxr_2","ssc_1","sv_1","sph_1","sk_1","smean_1","spk_1","svk_1","scl_1","sdc_1","tpi_1","tri_1","vrm_1","sar_1","raster.entropy_1","slope_1","northness_1","eastness_1","TPI_1","TRI_1","TRIriley_1","TRIrmsd_1","roughness_1","stdv_1","mad_1","nmodes_1","range_1","curvature_profile_1","curvature_planform_1","curvature_total_1"
"sa_1",1,0.998223945777099,0.6342405799899,0.821991649744535,0.575899852651524,-0.395641719786453,0.314854557508312,-0.440827072256538,-0.00170645633496368,-0.13728428578447,-0.595067212160521,-0.429972535189007,-0.411792218415437,-0.425281801156395,0.0408376539059986,-0.482922432212867,-0.511739069397385,-0.017867631171345,0.0108400424099975,0.676445717072921,0.520843693220047,0.634498498689164,0.959629061042266,0.573654702701593,0.737641807077236,0.566148734168188,-0.0178676311713318,0.763077166605338,0.144766195113719,0.879206091213759,0.418770763820253,-0.899547252199367,0.225284140501342,0.889963776176285,-0.328859813210582,0.0129086540035856,0.144766195113649,0.882769622112149,0.879195703846911,0.879195703846916,0.886660659065931,0.998223945777099,0.98146045572502,-0.139994781169461,0.969304397527405,0.114750909088415,-0.00819371311744564,0.338649412761019
"sq_1",0.998223945777099,1,0.650966100555795,0.830663504387322,0.592807287053912,-0.40123404608379,0.30174729852919,-0.457854014626953,-0.00144040959595143,-0.104673094469774,-0.602670359997155,-0.436588427159447,-0.410202314516543,-0.425694916733993,0.0424545096838566,-0.486656888688467,-0.528187771747417,-0.0167767463442031,0.0143271100975618,0.685290073002103,0.53755438944295,0.651211794429156,0.960539199110108,0.590627266282047,0.748778722098588,0.585649882676847,-0.0167767463441894,0.7740413151618,0.148633720140697,0.888514837389178,0.426916502259792,-0.90699933780548,0.228033283463693,0.899078126403741,-0.32668239843739,0.00979678930165131,0.14863372014063,0.891957495622086,0.888501509118594,0.8885015091186,0.895558504133337,1,0.97240766222041,-0.153840216095776,0.980200554739196,0.119339545746855,-0.0116712586223565,0.339815992179313
"s10z_1",0.6342405799899,0.650966100555795,1,0.517216451976187,0.996802019061039,-0.35296754772933,-0.315186649873577,-0.972028214735581,-0.109588237663082,-0.0360936417242229,-0.558044825662949,-0.397780146328302,-0.33877290204826,-0.32029741107571,0.147057466611105,-0.357982326995614,-0.987538419388603,0.0941193284016221,0.205572421772848,0.590775444732138,0.98947402556997,0.999967074112764,0.664503102136476,0.996595563900947,0.48422284532944,0.531197267390249,0.0941193284016375,0.58493532477363,0.0395704462361745,0.577579397655846,0.350452127928953,-0.58636475349371,0.205772523884493,0.590644228643932,-0.413981314132753,0.0447327864885678,0.0395704462360419,0.578410546377444,0.577538337226934,0.577538337226891,0.58168518170281,0.650966100555795,0.583526022570709,0.0131893041841068,0.702506911897539,0.104509140044513,-0.0294003690839075,0.222234684937761
"sdq_1",0.821991649744535,0.830663504387322,0.517216451976187,1,0.465232902416353,-0.0676563925046821,0.163709442900481,-0.346480815793885,0.124408043105132,0.0129572840392365,-0.510452461596596,-0.0749258934213958,-0.211034278572214,-0.347767634816238,-0.0024188541836759,-0.162556406178321,-0.405899051464188,0.0348761784893097,0.0775165617870298,0.472667403825608,0.415142867957432,0.517245210009588,0.801818504892941,0.46359077175474,0.646219866795917,0.521328872351914,0.0348761784893225,0.668037085985209,0.157039607295672,0.97910435515422,0.75066442056343,-0.95343321625382,0.0102697683042189,0.961477078818215,-0.30154313982917,-0.117416543754213,0.157039607295568,0.976491272564994,0.979101011121044,0.979101011121032,0.974060838397404,0.830663504387322,0.780904113680146,-0.195630435202113,0.836423064547178,0.331157737803449,-0.269500613716408,0.0113932911700682
"sdq6_1",0.575899852651524,0.592807287053912,0.996802019061039,0.465232902416353,1,-0.33358402241014,-0.366850114558887,-0.987043878999328,-0.13372635587289,-0.0343843945782588,-0.532666840735479,-0.377390775978081,-0.319748813300518,-0.297059748574599,0.151811738298507,-0.33220452572433,-0.995769812040607,0.0981532589735717,0.214188242644229,0.556351773569398,0.997083621789805,0.996664444576525,0.613979723821791,0.999995086468904,0.422123244018614,0.519701577240382,0.0981532589735876,0.529396967476393,0.0406573631806767,0.524152882253365,0.325597503639696,-0.533502841407024,0.194789336685397,0.537248947756783,-0.408622903467654,0.0473526978056859,0.0406573631805415,0.524832397474443,0.524114582687005,0.524114582686957,0.527986976574667,0.592807287053912,0.527306598361345,0.0321969965831745,0.646961242705597,0.103513784796024,-0.0334971254817198,0.202922720181217
"sdr_1",-0.395641719786453,-0.40123404608379,-0.35296754772933,-0.0676563925046821,-0.33358402241014,1,-0.216572078181143,0.288950319480471,0.257154697203044,0.243219312186586,0.578452245019405,0.908429103955799,0.647049903510547,0.62449121153821,-0.0358427675535872,0.880627775719978,0.311828674544845,0.0618532737096732,0.0610435109603584,-0.751588501908567,-0.315387252767534,-0.353168807883766,-0.391841140293649,-0.332875304385729,-0.322467517370552,-0.264755955749546,0.0618532737096993,-0.369682081342581,-0.0367887797753775,-0.222773658831676,0.402229044558735,0.249143399636431,-0.473279853327564,-0.291958254821116,0.163463286031857,-0.108470768352475,-0.0367887797753565,-0.233204896105011,-0.222770204438405,-0.222770204438486,-0.247048487110894,-0.40123404608379,-0.377891913416632,0.246988068506245,-0.414848455965149,0.399789776310793,-0.543613329575012,-0.843738209234684
"sbi_1",0.314854557508312,0.30174729852919,-0.315186649873577,0.163709442900481,-0.366850114558887,-0.216572078181143,1,0.461557873340734,0.146629700670871,-0.15794964868269,0.0262774113111963,-0.226118528428246,-0.292524707308375,0.00316138682257479,-0.0957458341996681,-0.33819636355343,0.410590197442754,-0.285734057733611,-0.507697904605289,0.0858018299948793,-0.405041949181515,-0.314556072854957,0.226750025607965,-0.368819124246904,0.315542422104582,-0.032864582844076,-0.285734057733623,0.236098288652723,-0.00144094776327709,0.213309820217099,-0.100579915243904,-0.239237164538084,0.210954294386088,0.227328542932479,0.03887851316274,-0.0213837594170952,-0.00144094776327575,0.218652664221271,0.213321061260789,0.213321061260893,0.22342649645361,0.30174729852919,0.321341797688297,-0.124600527804003,0.237926054486624,-0.351334798618895,0.38399503626872,0.373224376980142
"sci_1",-0.440827072256538,-0.457854014626953,-0.972028214735581,-0.346480815793885,-0.987043878999328,0.288950319480471,0.461557873340734,1,0.143265062026442,0.030427755977979,0.468104181009349,0.330389071255324,0.27595368844493,0.245626883742449,-0.159466547614097,0.270614896022445,0.996036573583792,-0.114365191092439,-0.235407045271739,-0.478054922308643,-0.995405312107927,-0.971864240876597,-0.488173314758114,-0.987443798667701,-0.319527885831332,-0.445607412166994,-0.114365191092454,-0.432707866545592,-0.00727341668807955,-0.400130045850393,-0.272330183633168,0.408115952255634,-0.170776107705489,-0.412661927108068,0.390940062620085,-0.0548274450426254,-0.00727341668794082,-0.400256305707352,-0.400090789153941,-0.400090789153886,-0.40324513366946,-0.457854014626953,-0.394664804446873,-0.0741276818555959,-0.517673072446232,-0.0883525257048812,0.0329630664323749,-0.156024251294112
"ssk_1",-0.00170645633496368,-0.00144040959595143,-0.109588237663082,0.124408043105132,-0.13372635587289,0.257154697203044,0.146629700670871,0.143265062026442,1,0.270666008381431,0.204649415125105,0.141352397243964,0.13403589705839,0.158291300730137,-0.0520159358861941,0.246764780312654,0.113807052934551,0.11340333661348,0.0449506726889431,-0.11430683596573,-0.119628955942819,-0.108084604655736,-0.0804140113577572,-0.133953593777074,0.370478720592232,-0.460706089259152,0.11340333661347,0.213071723076396,-0.294034820986637,0.0702775822622583,0.196520407663993,-0.0313808231419347,-0.0306570887357957,0.0441889692057124,0.102898806916461,-0.0475959470317703,-0.294034820986571,0.0662985170317626,0.0701869354319144,0.0701869354319385,0.0613399022327647,-0.00144040959595143,-0.0423463395906691,-0.104470059540314,-0.0138948810321929,-0.0904686123482791,0.0270340980882854,-0.186156451935884
"sku_1",-0.13728428578447,-0.104673094469774,-0.0360936417242229,0.0129572840392365,-0.0343843945782588,0.243219312186586,-0.15794964868269,0.030427755977979,0.270666008381431,1,0.201990545895558,0.11598675040264,0.307653875885125,0.232729095661949,0.19441585637367,0.311577693873289,0.0396622950324494,0.087553496759447,0.138223047112957,-0.0959440322547506,-0.0377309105127275,-0.0355912967107558,-0.183791565553055,-0.0339236991483651,0.0633127239299864,0.195224178047789,0.0875534967594535,0.0487288545707418,-0.0855551702491114,-0.0353267315949347,0.0738845624378873,0.0709553738586433,-0.057299322250809,-0.0543942402968422,0.103150577500481,-0.0378298179194288,-0.0855551702489017,-0.0380136086448788,-0.035419648082493,-0.035419648082473,-0.0451117898992478,-0.104673094469774,-0.212173355331915,-0.227010520635409,-0.0127070672068411,-0.0172776045310115,-0.029560794809497,-0.1719740631522
