"func","value"
"sa",5.00469192962141
"sq",6.17893893119842
"s10z",1657.71401367187
"sdq",0.0641504916568508
"sdq6",1392827.70085769
"sdr",0.000210389722062142
"sbi",0.00373451315998256
"sci",-1211.68044123769
"ssk",-0.71989383826994
"sku",-0.136665077714048
"sds",0.01636110701674
"sfd",2.00000009380984
"srw",c(10.1010101010101, 0.0696896462273059, 131.313131313131)
"std",c(90, 0.0294851827982053)
"svi",-323.401991237083
"stxr",c(0.727363640713036, 0.556805524202108)
"ssc",-0.00120048133933928
"sv",1626.67004394531
"sph",1657.93994140625
"sk",14.9588192813612
"smean",1646.39148136238
"spk",2.94967553796369
"svk",13.3684339290789
"scl",c(1028.13330078125, 787.048278808594, 1413.50659179688, 1413.50659179688)
"sdc",3.389892578125
