"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33"
"1","range","CuPro","CuPl","TPIv1","Sku","SCI","Stxr1","Sku","nor","east","TPIv1","nmodes","Srw2","Ssc","Sdc","Std2","Ssc","Svk","Srw3","Sk","Sdc","MAD","rEnt","Stxr2","SBI","SAR","Sdq","Slope","stdv","Sdr","range","Smean","CuPl"
"2","stdv","CuTot","VRM","Ssk","nmodes","Smean","Stxr2","east","east","nor","Ssk","Ssk","nor","Std2","Ssk","Sdr","Sds","Sds","Srw2","Svk","VRM","VRM","CuTot","Stxr1","VRM","Sk","Sk","Sdq","MAD","Sfd","Sk","SCI","nmodes"
"3","Slope","rEnt","SBI","Svk","CuPl","nor","Sku","nmodes","nmodes","Srw3","rEnt","CuPl","Sds","Srw3","VRM","Sfd","Sdc","Ssk","Sdc","MAD","Spk","SAR","Stxr2","rEnt","Sdq","Stxr2","MAD","Sfd","Sdr","Slope","Spk","range","Stxr1"
"4","Sk","SBI","Sfd","Spk","Std2","TPIv1","nmodes","Stxr1","rEnt","nmodes","Svk","Ssc","CuPl","Srw2","Sds","Sds","Std2","Spk","Sds","Sku","Srw3","SBI","Stxr1","SAR","Slope","MAD","Slope","Sdr","Sfd","Sdq","Svk","Sk","Ssk"
"5","Sdq","Stxr2","Sdr","Sdc","CuPro","Svk","CuTot","Stxr2","Sku","SCI","nmodes","CuPro","TPIv1","Sku","Spk","CuPl","Sku","SAR","MAD","CuPl","stdv","Slope","CuPro","Sds","Svk","range","SBI","stdv","Spk","stdv","Smean","Spk","nor"
"6","SAR","Srw3","rEnt","Sfd","Sds","Srw3","CuPro","Srw2","Srw3","Ssk","Std2","Sku","rEnt","CuTot","CuPl","Spk","Srw2","Sdc","Std2","Std2","Ssc","SCI","Sds","SBI","Spk","Stxr1","SAR","Sk","Sdc","MAD","SCI","Svk","VRM"
"7","MAD","Srw2","Ssk","Sdr","Srw2","Ssk","Srw3","Ssk","CuTot","Spk","Sfd","Srw3","CuTot","Sds","Srw2","Srw2","nmodes","VRM","rEnt","Spk","Srw2","Ssc","CuPl","VRM","Stxr2","Slope","range","Spk","Svk","Spk","stdv","Sdc","east"
"8","Sdc","Stxr1","SCI","Stxr1","VRM","east","rEnt","Svk","VRM","Smean","Sdr","VRM","Srw3","MAD","SAR","TPIv1","Srw3","Std2","Ssc","Srw2","CuPl","Smean","SAR","CuTot","Stxr1","Sdc","Stxr2","MAD","range","Sk","Slope","stdv","Sds"
"9","Spk","CuPl","Stxr2","SBI","Srw3","nmodes","Sds","MAD","Srw2","CuPl","east","Sdr","MAD","nmodes","Std2","Ssc","Svk","nmodes","stdv","SBI","Svk","Sdq","VRM","Spk","SCI","VRM","VRM","Sdc","SAR","Sdc","MAD","Slope","Stxr2"
"10","Sds","Std2","Sds","east","Ssc","Stxr2","Svk","Ssc","TPIv1","Std2","VRM","CuTot","SCI","SAR","nmodes","Svk","CuPl","rEnt","Sfd","Ssk","range","Sk","TPIv1","Svk","stdv","Spk","Stxr1","range","Sdq","SAR","Sdq","Sdq","Std2"
"11","Smean","Ssc","Smean","SCI","Svk","Stxr1","MAD","Srw3","Stxr1","Sfd","CuPl","Sfd","Sdr","rEnt","Slope","Sku","SBI","TPIv1","VRM","CuTot","Sk","Srw2","Ssc","range","range","Sdq","CuTot","VRM","Slope","range","SAR","Sdr","Sku"
"12","Ssc","Sdr","Sdq","Ssc","CuTot","SBI","SBI","TPIv1","Sk","Sdr","Sdq","east","Sdc","SCI","Svk","CuTot","Spk","Sku","CuPl","VRM","SBI","stdv","Sfd","CuPl","Ssc","Std2","Smean","Svk","Sk","Svk","SBI","SBI","SCI"
"13","Sfd","Sfd","Stxr1","nor","range","CuPl","Sk","Sk","Ssk","CuTot","SBI","Srw2","Std2","Smean","TPIv1","MAD","CuPro","Srw2","Sdr","Sdq","Sds","Sku","Sdc","Sku","CuTot","CuPl","Sdc","SAR","VRM","Srw2","Sdr","Sfd","SBI"
"14","Sdr","SCI","east","Smean","Sdc","Srw2","stdv","CuTot","SBI","Sku","Srw2","SBI","Ssk","Sdc","Sdq","nmodes","Stxr1","CuPl","Svk","TPIv1","CuPro","CuPl","Sdr","TPIv1","MAD","stdv","CuPro","CuPl","SBI","VRM","CuPl","SAR","Smean"
"15","Svk","Smean","Spk","Stxr2","east","MAD","Sdc","stdv","CuPl","Srw2","Slope","Sk","east","nor","Sdr","Sk","TPIv1","Srw3","Smean","nmodes","Sfd","east","nmodes","CuPro","Smean","Svk","Svk","rEnt","Stxr2","SBI","Sfd","Stxr2","rEnt"
"16","VRM","Sds","CuTot","nmodes","Smean","Spk","TPIv1","Sdc","MAD","rEnt","Sds","Spk","Sfd","VRM","range","Ssk","Stxr2","Stxr1","SAR","rEnt","Sdr","Srw3","Spk","stdv","Sku","SBI","rEnt","Sku","Srw2","Std2","CuTot","Stxr1","Sdc"
"17","Std2","VRM","Std2","SAR","stdv","VRM","SAR","Std2","CuPro","stdv","Srw3","Svk","Sku","Sfd","Sfd","rEnt","SCI","Ssc","Slope","Srw3","east","rEnt","Sdq","Sfd","Sk","Sds","east","SBI","CuTot","Sku","Stxr2","CuTot","CuPro"
"18","Srw2","Sku","SAR","Srw3","SCI","Sku","Srw2","CuPro","Std2","Svk","Spk","stdv","Smean","TPIv1","rEnt","east","Smean","Sk","SCI","stdv","SCI","TPIv1","Srw3","Sdc","CuPro","SCI","SCI","Srw3","Sds","east","Sds","Sds","CuTot"
"19","SCI","Ssk","Slope","Sk","Spk","Sk","Sdr","rEnt","Stxr2","MAD","Stxr2","SAR","Spk","Sdr","SBI","SCI","Sk","Sdr","CuPro","Slope","TPIv1","Sds","Std2","Std2","SAR","Srw2","stdv","nmodes","Stxr1","Sds","Sdc","CuPl","Spk"
"20","Srw3","Spk","nmodes","Sds","Sk","Ssc","Sfd","CuPl","Svk","SBI","CuPro","Smean","VRM","CuPro","Stxr1","Smean","Ssk","nor","SBI","SCI","Sku","nmodes","Srw2","Srw2","Sdc","Srw3","Ssk","Std2","CuPro","CuPl","VRM","Srw3","Sdq"
"21","nmodes","Sdc","Svk","Slope","MAD","Sdq","VRM","Sdq","stdv","VRM","SCI","range","stdv","CuPl","CuPro","Srw3","Slope","Sfd","Ssk","Smean","Std2","range","MAD","Ssk","rEnt","nor","nmodes","Ssc","Ssk","Ssk","Stxr1","MAD","Slope"
"22","nor","Sdq","Sdc","Sku","Ssk","rEnt","Smean","Slope","Sdr","Sdc","SAR","SCI","Svk","Sdq","nor","Stxr1","nor","east","Sdq","Stxr2","Stxr1","Svk","east","Slope","Ssk","Ssk","Sku","SCI","SCI","Smean","TPIv1","rEnt","Ssc"
"23","SBI","TPIv1","MAD","Std2","nor","stdv","SCI","SBI","range","Sk","nor","MAD","Sk","Stxr1","CuTot","Sdq","Sdq","CuPro","TPIv1","east","nmodes","Stxr2","SBI","Sk","TPIv1","Sdr","Sdr","Sds","Smean","Ssc","Srw3","VRM","Svk"
"24","CuTot","Slope","stdv","CuTot","Stxr1","SAR","Std2","Sds","Sds","range","Sk","nor","Ssc","Slope","MAD","VRM","rEnt","SBI","nor","Ssc","rEnt","Sfd","Slope","Sdr","Sds","Ssc","nor","Stxr2","Std2","CuTot","Ssk","Ssk","TPIv1"
"25","CuPro","nmodes","Ssc","Sdq","TPIv1","Slope","CuPl","nor","Smean","Slope","Ssc","rEnt","nmodes","east","Sk","Sdc","MAD","range","nmodes","SAR","CuTot","CuTot","SCI","nmodes","Sfd","CuPro","Spk","TPIv1","Sku","CuPro","CuPro","Sku","range"
"26","rEnt","nor","range","rEnt","Stxr2","range","east","range","Sdc","TPIv1","Smean","Stxr1","CuPro","Svk","SCI","nor","range","stdv","Sk","nor","SAR","nor","Svk","Ssc","CuPl","rEnt","Srw2","CuPro","Ssc","nmodes","Sku","TPIv1","Sdr"
"27","Sku","SAR","Sk","CuPl","SAR","CuTot","Ssc","Spk","Sfd","Stxr1","Stxr1","Sds","SBI","SBI","Smean","SBI","SAR","SCI","Spk","Stxr1","MAD","Stxr1","Sku","Sdq","Srw2","CuTot","Ssc","Ssk","CuPl","SCI","Ssc","east","SAR"
"28","TPIv1","range","Srw2","MAD","SBI","Sdc","range","VRM","SCI","Sdq","MAD","Sdc","SAR","stdv","Sku","Stxr2","stdv","Smean","CuTot","range","Ssk","Std2","range","east","Srw3","Sku","Sfd","nor","nmodes","TPIv1","east","CuPro","Sfd"
"29","Ssk","stdv","CuPro","VRM","Sdq","Sds","nor","SAR","Ssc","Stxr2","stdv","Slope","Slope","Stxr2","Ssc","range","CuTot","Sdq","east","CuPro","Sdq","Spk","stdv","SCI","nor","Smean","Sds","CuTot","rEnt","Stxr2","nmodes","Std2","stdv"
"30","Stxr1","Sk","Sku","CuPro","rEnt","Sfd","Sdq","SCI","Slope","Sds","Sdc","Stxr2","Stxr1","Sk","Stxr2","stdv","Sfd","MAD","Stxr1","Sdr","Slope","Sdr","Smean","Srw3","Std2","TPIv1","Std2","Srw2","east","Srw3","nor","Ssc","Srw2"
"31","CuPl","MAD","Srw3","range","Slope","Sdr","Spk","Sdr","Spk","CuPro","Sku","TPIv1","Stxr2","Spk","stdv","Slope","east","CuTot","Sku","Sfd","nor","Sdc","Sk","nor","east","nmodes","TPIv1","Stxr1","nor","Stxr1","Srw2","Srw2","Sk"
"32","east","east","nor","stdv","Sdr","CuPro","Ssk","Sfd","Sdq","SAR","range","Std2","Sdq","Ssk","east","CuPro","VRM","Slope","Stxr2","Sds","Stxr2","CuPro","Ssk","MAD","nmodes","east","CuPl","Smean","Srw3","rEnt","rEnt","nor","Srw3"
"33","Stxr2","Svk","TPIv1","Srw2","Sfd","Std2","Slope","Smean","SAR","Ssc","CuTot","Sdq","range","range","Srw3","SAR","Sdr","Stxr2","range","Sdc","Smean","Ssk","nor","Smean","Sdr","Sfd","Srw3","east","TPIv1","nor","Std2","nmodes","MAD"
