"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34"
"1","range","VRM","SBI","TPIv1","Srw3","Sku","Stxr1","east","nor","rEnt","nmodes","rEnt","Srw2","VRM","SBI","Sdc","Std2","Sds","Sfd","VRM","Sdr","Srw3","Svk","Ssc","CuTot","SAR","Stxr2","SAR","Slope","stdv","range","Sv","Smean","CuPl"
"2","stdv","CuTot","SCI","Ssk","CuPro","nmodes","Stxr2","nor","rEnt","TPIv1","Sku","Ssk","TPIv1","SBI","MAD","Sfd","Svk","Std2","Sds","Sdc","CuTot","CuTot","Srw3","Sdr","Sk","Stxr2","MAD","Ssc","Sdq","MAD","Sk","SCI","SCI","CuPro"
"3","Sk","CuPl","Stxr2","Spk","Stxr1","Svk","Sku","Srw3","east","nor","nor","TPIv1","Srw3","nmodes","Sdc","SBI","SAR","Svk","Std2","SAR","Sfd","Sfd","Ssc","Sfd","Sdr","Stxr1","Sk","Sdq","stdv","Spk","Spk","range","Sv","CuTot"
"4","Slope","CuPro","Sv","Stxr1","SCI","TPIv1","Ssk","Sk","nmodes","Ssk","VRM","nor","Spk","Srw3","TPIv1","Srw2","Spk","CuTot","Sdr","stdv","Svk","Spk","Spk","Sds","Ssc","Sk","Stxr1","Stxr2","Sk","Sdq","SCI","Sk","range","range"
"5","MAD","Sdr","Smean","CuPro","Sds","Srw2","nmodes","MAD","Srw2","east","Srw2","Srw2","east","Srw2","Srw2","Ssk","Ssc","CuPro","Srw2","Slope","Ssc","SBI","MAD","Std2","CuPro","Slope","SBI","Slope","VRM","Sdc","Sv","Smean","Sdc","Sk"
"6","Ssc","Sfd","Stxr1","Stxr2","Stxr2","Stxr2","TPIv1","Srw2","Ssk","Svk","CuPro","nmodes","Sfd","Sdc","Sk","VRM","Ssk","Sdc","Srw3","Spk","Ssk","Sdc","Sku","SBI","VRM","Sdq","range","Stxr1","CuTot","Svk","Svk","Spk","stdv","stdv"
"7","SAR","Std2","Ssk","CuPl","nmodes","Stxr1","MAD","Ssk","Sds","nmodes","CuPl","CuPl","Slope","rEnt","Spk","Srw3","Sds","Ssk","nmodes","MAD","Sds","Srw2","VRM","Sk","Svk","range","Sdq","SBI","Std2","Slope","stdv","Svk","Svk","Svk"
"8","Sdc","Sdq","Sdq","Sdc","CuPl","nor","CuPl","Sdc","CuPro","Srw2","Sfd","CuPro","Sdq","TPIv1","VRM","Sdr","Sku","SBI","rEnt","Sds","Std2","Sds","Std2","VRM","Sdq","MAD","Ssc","Sk","range","Sk","MAD","stdv","Spk","MAD"
"9","Sds","rEnt","Spk","Svk","Sv","Spk","CuPro","Svk","Sk","Sku","Sds","east","Ssc","MAD","Srw3","Sdq","Sdc","Sku","SAR","Srw2","Sdc","Std2","Sk","Srw3","Stxr2","CuTot","stdv","MAD","Spk","SAR","Smean","Sdc","MAD","Sdq"
"10","Sdq","Srw2","SAR","Sku","Smean","rEnt","SCI","range","CuPl","Sdr","Spk","Srw3","CuPro","Stxr1","Ssk","nmodes","Sfd","TPIv1","SBI","Sdq","Spk","VRM","Srw2","MAD","Sku","Sdc","Sdc","CuTot","Srw2","range","SAR","MAD","Sk","Slope"
"11","Smean","SBI","Slope","Srw3","Svk","CuTot","SBI","stdv","TPIv1","Std2","SCI","SBI","VRM","Sdr","Stxr1","MAD","VRM","MAD","CuPl","Srw3","Srw3","stdv","range","range","Std2","Ssc","Sfd","CuPro","Sdr","Sv","Slope","Ssc","Sdq","SAR"
"12","Spk","Stxr2","Sds","Sds","Ssc","CuPl","Sds","VRM","Sdr","Ssc","SBI","CuTot","Svk","Sdq","stdv","Std2","Sdr","CuPl","Ssc","CuTot","rEnt","Slope","Ssk","Srw2","Stxr1","VRM","CuTot","Sdr","Svk","Ssc","CuTot","Sdr","Slope","Sdc"
"13","Std2","SAR","MAD","Srw2","nor","CuPro","Sv","CuTot","Sdc","range","Svk","Spk","SAR","Sk","nor","Ssc","CuTot","Sfd","Sku","nmodes","SBI","Sk","Stxr2","SCI","Sfd","Spk","Sds","VRM","Sfd","SCI","Stxr2","SAR","SAR","Smean"
"14","Sv","Slope","stdv","Sv","Ssk","SBI","Ssc","Slope","Sv","Sdc","Sv","Sk","CuPl","Smean","Sds","Sk","Sdq","Sdr","CuPro","Stxr1","Sk","Stxr1","Sdq","Sv","Slope","SBI","Slope","range","Stxr2","VRM","Sdq","Sku","Stxr2","Sfd"
"15","Srw3","Stxr1","VRM","SCI","Srw2","Sv","Smean","Sdq","Smean","Sds","Ssc","Sku","Sku","Sv","SAR","SAR","TPIv1","VRM","CuTot","Stxr2","CuPro","SCI","SAR","Slope","CuPl","CuPro","Srw3","Srw2","SBI","Smean","SBI","Stxr2","Ssc","Sv"
"16","Sfd","Srw3","Srw3","Smean","TPIv1","Srw3","CuTot","SBI","SCI","CuPro","Smean","SCI","stdv","SCI","SCI","Sds","MAD","SAR","MAD","range","Srw2","range","Stxr1","Smean","Spk","Std2","Srw2","SCI","Stxr1","CuPro","Stxr1","VRM","Stxr1","Sds"
"17","Sdr","Smean","Sdc","rEnt","VRM","SCI","Sk","Sds","MAD","CuPl","Sdq","Sv","Sdr","stdv","Sv","TPIv1","Slope","stdv","Slope","Sk","nmodes","east","stdv","Stxr2","Srw3","stdv","Sku","Sv","Ssc","CuTot","VRM","CuPro","TPIv1","SCI"
"18","Svk","Sv","Sdr","Sfd","east","MAD","Sdc","rEnt","Srw3","Spk","TPIv1","Smean","Std2","Std2","Std2","Slope","SBI","Spk","Stxr1","Std2","Sv","Svk","Slope","Stxr1","SBI","Ssk","Smean","CuPl","Sdc","Ssk","CuPro","Stxr1","Std2","rEnt"
"19","Srw2","SCI","Ssc","Std2","Spk","east","stdv","SAR","Stxr1","SAR","stdv","Std2","range","east","Smean","Stxr1","Srw3","Ssc","Ssk","Sdr","SCI","Sku","Sfd","TPIv1","range","Sds","nor","Smean","Sku","Srw2","Sdc","Std2","Sdr","Sdr"
"20","SCI","Ssc","range","Sk","CuTot","Sfd","Srw3","nmodes","VRM","Stxr1","range","Svk","MAD","Ssc","Sdq","Spk","Srw2","nor","Sdq","Svk","SAR","Stxr2","SBI","SAR","MAD","Svk","CuPro","Srw3","Smean","SBI","nmodes","Slope","SBI","Spk"
"21","CuTot","Sku","east","VRM","Std2","Smean","Spk","CuPl","Sku","stdv","Stxr2","Sdr","Ssk","Spk","Sfd","Stxr2","east","Stxr1","Sdc","CuPro","nor","Sv","Smean","Sku","Srw2","SCI","Ssk","Sdc","CuPro","CuPl","Ssk","Srw3","Sku","VRM"
"22","nor","range","CuPro","SAR","Sdr","range","nor","TPIv1","stdv","SCI","Slope","Sds","Sdc","CuPl","CuPro","east","Sv","Sv","Stxr2","Ssc","Smean","MAD","Sdc","Spk","TPIv1","Sdr","Std2","Sfd","Sds","Sfd","Sku","Ssk","Sfd","Std2"
"23","rEnt","stdv","Sfd","east","range","Sdc","SAR","Sfd","SBI","Sv","Sk","Sdc","SBI","Ssk","CuPl","Svk","nor","Sdq","TPIv1","SCI","east","Sdr","CuTot","CuTot","Smean","Srw2","TPIv1","Sds","SCI","Sdr","Srw3","TPIv1","Srw2","Ssk"
"24","VRM","Sk","Sk","Slope","Sk","Std2","VRM","CuPro","Sfd","CuTot","Sdr","Stxr1","rEnt","CuPro","Slope","range","Smean","nmodes","SCI","Sku","range","CuPro","Sv","nmodes","Sv","nor","rEnt","Ssk","Ssk","Std2","Srw2","CuPl","CuTot","Stxr1"
"25","nmodes","Ssk","CuPl","range","Sku","Sdq","Sdq","Spk","Std2","Smean","Stxr1","Slope","Sk","Slope","rEnt","CuPro","SCI","SCI","Sv","Sfd","Sdq","Smean","nmodes","east","Sdc","Srw3","Sdr","stdv","MAD","Sds","CuPl","CuTot","CuPl","Sku"
"26","SBI","MAD","nmodes","MAD","rEnt","Ssk","rEnt","Stxr1","Spk","MAD","Srw3","stdv","Sds","CuTot","nmodes","CuPl","nmodes","range","Smean","Ssk","Slope","TPIv1","nor","Svk","SCI","CuPl","nmodes","Spk","Srw3","east","Sfd","Sdq","CuPro","nor"
"27","TPIv1","Spk","nor","CuTot","SBI","Slope","Svk","Std2","Ssc","Sfd","Sdc","VRM","Stxr1","Sfd","Stxr2","SCI","CuPro","Smean","stdv","nor","stdv","Ssk","SCI","CuPl","SAR","TPIv1","SAR","TPIv1","SAR","Stxr2","TPIv1","east","Ssk","TPIv1"
"28","Sku","Svk","Svk","Sdr","stdv","Sds","east","Stxr2","Stxr2","Srw3","SAR","range","SCI","nor","Ssc","Sv","Sk","Slope","Svk","rEnt","TPIv1","Ssc","CuPl","stdv","nmodes","Sku","east","Sku","rEnt","TPIv1","nor","Sds","Srw3","east"
"29","Ssk","Sdc","Srw2","stdv","Slope","SAR","Slope","Ssc","Svk","Sk","rEnt","MAD","nor","Svk","Svk","Smean","stdv","Sk","Spk","east","CuPl","CuPl","rEnt","CuPro","nor","nmodes","VRM","Std2","CuPl","Srw3","Ssc","SBI","east","Ssc"
"30","CuPl","nmodes","Std2","Ssc","Sfd","Ssc","Srw2","SCI","range","Slope","MAD","Stxr2","nmodes","range","CuTot","stdv","Stxr1","east","east","SBI","VRM","nmodes","east","rEnt","Sds","Sv","CuPl","nmodes","east","nmodes","Sdr","nor","nor","SBI"
"31","CuPro","nor","Sku","Sdq","Sdq","Sk","range","Sdr","Slope","Sdq","Std2","Ssc","Sv","Sds","Sku","CuTot","CuPl","Stxr2","VRM","Smean","Stxr1","SAR","TPIv1","Ssk","Ssk","Sfd","Svk","east","nmodes","rEnt","east","Sfd","Sds","Srw3"
"32","Stxr2","east","rEnt","SBI","MAD","stdv","Sdr","Sv","CuTot","VRM","Ssk","SAR","CuTot","SAR","east","nor","Stxr2","Srw3","range","TPIv1","Sku","rEnt","CuPro","Sdc","east","Smean","Sv","nor","TPIv1","Sku","Std2","nmodes","VRM","Stxr2"
"33","east","TPIv1","TPIv1","nor","Sdc","Sdr","Sfd","Sku","SAR","SBI","CuTot","Sfd","Stxr2","Stxr2","range","Sku","rEnt","Srw2","nor","CuPl","MAD","Sdq","Sds","nor","rEnt","east","SCI","rEnt","Sv","nor","Sds","rEnt","rEnt","Srw2"
"34","Stxr1","Sds","CuTot","nmodes","SAR","VRM","Std2","Smean","Sdq","Stxr2","east","Sdq","Smean","Sku","Sdr","rEnt","range","rEnt","Sk","Sv","Stxr2","nor","Sdr","Sdq","stdv","rEnt","Spk","Svk","nor","Stxr1","rEnt","Srw2","nmodes","nmodes"
