"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32"
"1","range","rEnt","Sdr","TPIv1","CuPl","Stxr1","Sku","nor","nmodes","nor","nmodes","TPIv1","Ssk","Sds","VRM","Std2","Srw3","Svk","CuPl","Sdc","Svk","Stxr2","SAR","SAR","MAD","Sdr","Sdq","stdv","Slope","range","Smean","CuPl"
"2","Slope","SBI","Sfd","Spk","Sku","Stxr2","east","Stxr1","east","nmodes","nor","east","CuPl","Srw2","Std2","Sds","Sdc","Ssk","Stxr2","SBI","Spk","Stxr1","rEnt","SBI","Sk","Sfd","Slope","MAD","Sdq","Sk","SCI","nor"
"3","stdv","CuTot","CuPl","Svk","Srw3","nor","Srw2","Stxr2","Srw2","east","east","Ssk","Sdc","Srw3","Sds","Sfd","Srw2","Stxr2","Srw2","VRM","MAD","TPIv1","SBI","rEnt","SBI","SBI","VRM","Spk","stdv","Spk","range","Std2"
"4","Sdq","CuPro","Ssk","Ssk","Srw2","TPIv1","Svk","SCI","Ssk","TPIv1","SCI","Srw2","MAD","Std2","Srw2","Sdr","Sds","Stxr1","Svk","Spk","Sku","rEnt","VRM","Sk","Sdr","rEnt","Sk","Sdq","MAD","Svk","Sk","Stxr2"
"5","Sk","Stxr2","Std2","Sdc","Std2","SCI","MAD","rEnt","TPIv1","Sku","Smean","Sfd","nor","nmodes","Sdc","Srw3","CuPl","Sku","Spk","nmodes","Sk","CuTot","MAD","range","Sfd","MAD","range","Slope","Spk","Smean","Spk","Sku"
"6","SAR","Srw3","Sds","Sfd","east","Smean","Srw3","Smean","Srw3","CuPl","Std2","Srw3","Sdr","Sdc","Sfd","rEnt","Spk","Sdc","TPIv1","Sds","VRM","VRM","CuTot","Slope","Slope","VRM","Spk","Sk","Sk","SCI","Svk","TPIv1"
"7","MAD","Srw2","nmodes","SBI","Svk","Svk","Ssk","CuPro","CuPl","Srw2","CuTot","Sku","nmodes","Stxr2","SAR","SCI","Std2","SAR","MAD","Stxr2","Sdc","CuPl","CuPro","Spk","range","Sk","Svk","Svk","VRM","stdv","Sdc","MAD"
"8","VRM","Stxr1","Spk","Sdr","nmodes","CuTot","Sds","CuPl","SCI","CuTot","Ssk","SCI","Sfd","VRM","Sdr","Stxr1","rEnt","Spk","Stxr1","CuTot","rEnt","Sk","Sdq","Sdr","stdv","SAR","MAD","Sdc","Svk","MAD","stdv","SAR"
"9","Sdc","SCI","VRM","Sds","Stxr1","SBI","nor","nmodes","VRM","Srw3","Srw3","Sdr","rEnt","Stxr1","MAD","Smean","Sdr","SBI","rEnt","stdv","CuTot","SBI","Spk","SCI","rEnt","Slope","SBI","range","Sdc","Slope","Slope","Sdc"
"10","Smean","Smean","east","east","CuPro","east","Sk","TPIv1","Smean","MAD","CuPro","Svk","Std2","Svk","TPIv1","Spk","SBI","CuTot","VRM","CuPro","SAR","CuPro","SCI","Sdc","VRM","Spk","Sdc","SAR","Sdr","SAR","Sdq","Sds"
"11","Spk","Std2","Srw3","VRM","Stxr2","CuPro","stdv","CuTot","Sds","SCI","rEnt","VRM","Sk","Sku","Sdq","Srw2","Sfd","Sk","Std2","Srw3","range","Srw3","Sdc","Sfd","Svk","Srw2","Sfd","VRM","CuPl","Sdq","SBI","Sfd"
"12","Sds","Sku","Sdq","SCI","range","Ssk","Sfd","east","Std2","Sdr","Sfd","Smean","Spk","range","Slope","MAD","CuPro","Sds","SAR","rEnt","Stxr1","MAD","Stxr1","MAD","Spk","Stxr2","stdv","Sdr","SBI","SBI","VRM","stdv"
"13","Svk","TPIv1","SBI","nor","nor","Spk","Sdr","Std2","Sku","Sdc","VRM","CuTot","SAR","CuPl","Ssk","TPIv1","VRM","CuPl","Sk","Stxr1","TPIv1","Spk","Smean","Sdq","Sdc","stdv","rEnt","Sku","SCI","VRM","MAD","Srw2"
"14","SCI","Sds","Sku","Stxr1","Sdc","MAD","SBI","Srw2","rEnt","Sk","Spk","nor","Sds","CuPro","nmodes","nmodes","Ssk","stdv","Srw3","TPIv1","Stxr2","Std2","Sk","CuPl","CuTot","SCI","Sku","rEnt","Sku","CuTot","Stxr1","Sdr"
"15","Sdr","east","Sdc","Smean","stdv","rEnt","SAR","SBI","Sdq","Smean","Sdr","CuPro","SCI","nor","Svk","Ssk","Stxr1","CuPro","Sdq","Smean","CuPl","Sdq","stdv","Srw2","CuPro","Stxr1","Ssk","Ssk","Sds","TPIv1","Sdr","CuPro"
"16","Sfd","MAD","SCI","SAR","Ssk","Sdc","SCI","Sds","Slope","Sds","MAD","Spk","stdv","Spk","SBI","Sk","range","MAD","stdv","MAD","SBI","stdv","Sdr","Smean","nor","Smean","Sds","Smean","SAR","CuPl","Stxr2","east"
"17","Std2","CuPl","SAR","Stxr2","MAD","Sk","Smean","Sdc","Svk","Sfd","Stxr2","SBI","Stxr2","Sdq","east","nor","Svk","VRM","Slope","Sku","CuPro","Sdc","Stxr2","Std2","Smean","Svk","Sdr","SBI","Stxr1","CuPro","CuPl","rEnt"
