"file","func","value","site","tile","res","type"
"ORNL_2018_DEM_mosaic_2025-11-14_1_100m.tif","sa_1",15.9815286931992,"ORNL","1","100","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_1_10m.tif","sa_1",16.4192762963678,"ORNL","1","10","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_1_15m.tif","sa_1",16.4480851851013,"ORNL","1","15","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_1_1m.tif","sa_1",16.4259437819857,"ORNL","1","1","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_1_30m.tif","sa_1",16.4058536159685,"ORNL","1","30","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_1_50m.tif","sa_1",16.2930444498181,"ORNL","1","50","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_1_5m.tif","sa_1",16.42423560506,"ORNL","1","5","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_2_100m.tif","sa_1",18.2676518615723,"ORNL","2","100","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_2_10m.tif","sa_1",18.7303974672979,"ORNL","2","10","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_2_15m.tif","sa_1",18.7506935739715,"ORNL","2","15","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_2_1m.tif","sa_1",18.7393030672257,"ORNL","2","1","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_2_30m.tif","sa_1",18.7052254430313,"ORNL","2","30","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_2_50m.tif","sa_1",18.5857000287533,"ORNL","2","50","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_2_5m.tif","sa_1",18.7369816858208,"ORNL","2","5","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_3_100m.tif","sa_1",19.1143484069824,"ORNL","3","100","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_3_10m.tif","sa_1",19.4575231686086,"ORNL","3","10","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_3_15m.tif","sa_1",19.4600124116197,"ORNL","3","15","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_3_1m.tif","sa_1",19.4641913565377,"ORNL","3","1","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_3_30m.tif","sa_1",19.4235637255332,"ORNL","3","30","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_3_50m.tif","sa_1",19.3493395373583,"ORNL","3","50","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_3_5m.tif","sa_1",19.4623569812335,"ORNL","3","5","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_4_100m.tif","sa_1",14.4457263660431,"ORNL","4","100","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_4_10m.tif","sa_1",14.7798565605989,"ORNL","4","10","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_4_15m.tif","sa_1",14.7826737305599,"ORNL","4","15","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_4_1m.tif","sa_1",14.7878675281853,"ORNL","4","1","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_4_30m.tif","sa_1",14.7416116083706,"ORNL","4","30","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_4_50m.tif","sa_1",14.653916302371,"ORNL","4","50","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_4_5m.tif","sa_1",14.7858086297209,"ORNL","4","5","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_5_100m.tif","sa_1",22.647071326828,"ORNL","5","100","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_5_10m.tif","sa_1",23.0656280883862,"ORNL","5","10","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_5_15m.tif","sa_1",23.0867068252598,"ORNL","5","15","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_5_1m.tif","sa_1",23.0731912678289,"ORNL","5","1","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_5_30m.tif","sa_1",23.0440183239626,"ORNL","5","30","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_5_50m.tif","sa_1",22.943574178791,"ORNL","5","50","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_5_5m.tif","sa_1",23.0712785428494,"ORNL","5","5","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_6_100m.tif","sa_1",16.3315955257416,"ORNL","6","100","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_6_10m.tif","sa_1",16.9287039862093,"ORNL","6","10","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_6_15m.tif","sa_1",16.9398325944417,"ORNL","6","15","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_6_1m.tif","sa_1",16.9417598441125,"ORNL","6","1","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_6_30m.tif","sa_1",16.8674180289915,"ORNL","6","30","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_6_50m.tif","sa_1",16.6996961353302,"ORNL","6","50","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_6_5m.tif","sa_1",16.9384704031765,"ORNL","6","5","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_7_100m.tif","sa_1",33.4067959699631,"ORNL","7","100","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_7_10m.tif","sa_1",33.7949772603401,"ORNL","7","10","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_7_15m.tif","sa_1",34.084373076417,"ORNL","7","15","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_7_1m.tif","sa_1",33.8015238003899,"ORNL","7","1","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_7_30m.tif","sa_1",34.055594717653,"ORNL","7","30","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_7_50m.tif","sa_1",33.7014439649582,"ORNL","7","50","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_7_5m.tif","sa_1",33.7998924729998,"ORNL","7","5","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_8_100m.tif","sa_1",19.6883708156586,"ORNL","8","100","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_8_10m.tif","sa_1",20.0951704325865,"ORNL","8","10","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_8_15m.tif","sa_1",20.0437143879343,"ORNL","8","15","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_8_1m.tif","sa_1",20.1026174080082,"ORNL","8","1","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_8_30m.tif","sa_1",20.0028846321383,"ORNL","8","30","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_8_50m.tif","sa_1",19.9704757203579,"ORNL","8","50","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_8_5m.tif","sa_1",20.1006532004334,"ORNL","8","5","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_9_100m.tif","sa_1",18.5050812374115,"ORNL","9","100","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_9_10m.tif","sa_1",19.0184045033673,"ORNL","9","10","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_9_15m.tif","sa_1",18.9598528423753,"ORNL","9","15","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_9_1m.tif","sa_1",19.0263041683618,"ORNL","9","1","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_9_30m.tif","sa_1",18.9180196074483,"ORNL","9","30","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_9_50m.tif","sa_1",18.8564643327951,"ORNL","9","50","ridged"
"ORNL_2018_DEM_mosaic_2025-11-14_9_5m.tif","sa_1",19.0242809976368,"ORNL","9","5","ridged"
"RMNP_2020_DEM_mosaic_2025-11-14_1_100m.tif","sa_1",42.4953862213135,"RMNP","1","100","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_1_10m.tif","sa_1",42.5571140297302,"RMNP","1","10","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_1_15m.tif","sa_1",42.8394979733562,"RMNP","1","15","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_1_1m.tif","sa_1",42.5589643017843,"RMNP","1","1","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_1_30m.tif","sa_1",42.8227072646334,"RMNP","1","30","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_1_50m.tif","sa_1",42.5280488161087,"RMNP","1","50","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_1_5m.tif","sa_1",42.558474578995,"RMNP","1","5","high-relief"
