,Sa,Sq,s10z,Sdq,Sdq6,Sdr,SBI,SCI,Ssk,Sku,Sds,Sfd,Srw2,Srw3,Std1,Std2,Svi,Stxr1,Stxr2,Ssc,Sv,Sph,Sk,Smean,Spk,Svk,Scl1,Sdc,TPIv1,TRIv1,VRM,SAR,rEnt,Slope,nor,east,TPIv2,TRIv2,TRIriley,TRIrmsd,rough,stdv,MAD,nmodes,range,CuPro,CuPl,CuTot
Sa,1.00,1.00,0.63,0.82,0.58,-0.40,0.31,-0.44,0.00,-0.14,-0.60,-0.43,-0.41,-0.43,0.04,-0.48,-0.51,-0.02,0.01,0.68,0.52,0.63,0.96,0.57,0.74,0.57,-0.02,0.76,0.14,0.88,0.42,-0.90,0.23,0.89,-0.33,0.01,0.14,0.88,0.88,0.88,0.89,1.00,0.98,-0.14,0.97,0.11,-0.01,0.34
Sq,1.00,1.00,0.65,0.83,0.59,-0.40,0.30,-0.46,0.00,-0.10,-0.60,-0.44,-0.41,-0.43,0.04,-0.49,-0.53,-0.02,0.01,0.69,0.54,0.65,0.96,0.59,0.75,0.59,-0.02,0.77,0.15,0.89,0.43,-0.91,0.23,0.90,-0.33,0.01,0.15,0.89,0.89,0.89,0.90,1.00,0.97,-0.15,0.98,0.12,-0.01,0.34
s10z,0.63,0.65,1.00,0.52,1.00,-0.35,-0.32,-0.97,-0.11,-0.04,-0.56,-0.40,-0.34,-0.32,0.15,-0.36,-0.99,0.09,0.21,0.59,0.99,1.00,0.66,1.00,0.48,0.53,0.09,0.58,0.04,0.58,0.35,-0.59,0.21,0.59,-0.41,0.04,0.04,0.58,0.58,0.58,0.58,0.65,0.58,0.01,0.70,0.10,-0.03,0.22
Sdq,0.82,0.83,0.52,1.00,0.47,-0.07,0.16,-0.35,0.12,0.01,-0.51,-0.07,-0.21,-0.35,0.00,-0.16,-0.41,0.03,0.08,0.47,0.42,0.52,0.80,0.46,0.65,0.52,0.03,0.67,0.16,0.98,0.75,-0.95,0.01,0.96,-0.30,-0.12,0.16,0.98,0.98,0.98,0.97,0.83,0.78,-0.20,0.84,0.33,-0.27,0.01
Sdq6,0.58,0.59,1.00,0.47,1.00,-0.33,-0.37,-0.99,-0.13,-0.03,-0.53,-0.38,-0.32,-0.30,0.15,-0.33,-1.00,0.10,0.21,0.56,1.00,1.00,0.61,1.00,0.42,0.52,0.10,0.53,0.04,0.52,0.33,-0.53,0.19,0.54,-0.41,0.05,0.04,0.52,0.52,0.52,0.53,0.59,0.53,0.03,0.65,0.10,-0.03,0.20
Sdr,-0.40,-0.40,-0.35,-0.07,-0.33,1.00,-0.22,0.29,0.26,0.24,0.58,0.91,0.65,0.62,-0.04,0.88,0.31,0.06,0.06,-0.75,-0.32,-0.35,-0.39,-0.33,-0.32,-0.26,0.06,-0.37,-0.04,-0.22,0.40,0.25,-0.47,-0.29,0.16,-0.11,-0.04,-0.23,-0.22,-0.22,-0.25,-0.40,-0.38,0.25,-0.41,0.40,-0.54,-0.84
SBI,0.31,0.30,-0.32,0.16,-0.37,-0.22,1.00,0.46,0.15,-0.16,0.03,-0.23,-0.29,0.00,-0.10,-0.34,0.41,-0.29,-0.51,0.09,-0.41,-0.31,0.23,-0.37,0.32,-0.03,-0.29,0.24,0.00,0.21,-0.10,-0.24,0.21,0.23,0.04,-0.02,0.00,0.22,0.21,0.21,0.22,0.30,0.32,-0.12,0.24,-0.35,0.38,0.37
SCI,-0.44,-0.46,-0.97,-0.35,-0.99,0.29,0.46,1.00,0.14,0.03,0.47,0.33,0.28,0.25,-0.16,0.27,1.00,-0.11,-0.24,-0.48,-1.00,-0.97,-0.49,-0.99,-0.32,-0.45,-0.11,-0.43,-0.01,-0.40,-0.27,0.41,-0.17,-0.41,0.39,-0.05,-0.01,-0.40,-0.40,-0.40,-0.40,-0.46,-0.39,-0.07,-0.52,-0.09,0.03,-0.16
Ssk,0.00,0.00,-0.11,0.12,-0.13,0.26,0.15,0.14,1.00,0.27,0.20,0.14,0.13,0.16,-0.05,0.25,0.11,0.11,0.04,-0.11,-0.12,-0.11,-0.08,-0.13,0.37,-0.46,0.11,0.21,-0.29,0.07,0.20,-0.03,-0.03,0.04,0.10,-0.05,-0.29,0.07,0.07,0.07,0.06,0.00,-0.04,-0.10,-0.01,-0.09,0.03,-0.19
Sku,-0.14,-0.10,-0.04,0.01,-0.03,0.24,-0.16,0.03,0.27,1.00,0.20,0.12,0.31,0.23,0.19,0.31,0.04,0.09,0.14,-0.10,-0.04,-0.04,-0.18,-0.03,0.06,0.20,0.09,0.05,-0.09,-0.04,0.07,0.07,-0.06,-0.05,0.10,-0.04,-0.09,-0.04,-0.04,-0.04,-0.05,-0.10,-0.21,-0.23,-0.01,-0.02,-0.03,-0.17
Sds,-0.60,-0.60,-0.56,-0.51,-0.53,0.58,0.03,0.47,0.20,0.20,1.00,0.51,0.56,0.81,-0.06,0.59,0.50,-0.04,-0.12,-0.87,-0.51,-0.56,-0.60,-0.53,-0.44,-0.42,-0.04,-0.50,-0.12,-0.57,-0.11,0.59,-0.18,-0.64,0.27,-0.05,-0.12,-0.58,-0.57,-0.57,-0.60,-0.60,-0.57,0.36,-0.62,-0.32,0.18,-0.34
Sfd,-0.43,-0.44,-0.40,-0.07,-0.38,0.91,-0.23,0.33,0.14,0.12,0.51,1.00,0.62,0.54,-0.10,0.81,0.36,0.05,0.05,-0.76,-0.36,-0.40,-0.42,-0.38,-0.36,-0.29,0.05,-0.40,-0.04,-0.23,0.40,0.26,-0.59,-0.29,0.18,-0.10,-0.04,-0.24,-0.23,-0.23,-0.25,-0.44,-0.41,0.22,-0.45,0.39,-0.53,-0.84
Srw2,-0.41,-0.41,-0.34,-0.21,-0.32,0.65,-0.29,0.28,0.13,0.31,0.56,0.62,1.00,0.72,-0.04,0.71,0.30,0.14,0.15,-0.63,-0.30,-0.34,-0.43,-0.32,-0.26,-0.22,0.14,-0.33,-0.12,-0.35,0.26,0.38,-0.41,-0.42,0.18,0.01,-0.12,-0.36,-0.35,-0.35,-0.38,-0.41,-0.42,0.08,-0.39,0.08,-0.22,-0.61
Srw3,-0.43,-0.43,-0.32,-0.35,-0.30,0.62,0.00,0.25,0.16,0.23,0.81,0.54,0.72,1.00,-0.02,0.65,0.27,-0.02,-0.11,-0.79,-0.28,-0.32,-0.44,-0.30,-0.30,-0.23,-0.02,-0.37,-0.07,-0.43,0.11,0.44,-0.23,-0.49,0.18,-0.04,-0.07,-0.43,-0.43,-0.43,-0.45,-0.43,-0.43,0.29,-0.42,-0.19,0.04,-0.45
Std1,0.04,0.04,0.15,0.00,0.15,-0.04,-0.10,-0.16,-0.05,0.19,-0.06,-0.10,-0.04,-0.02,1.00,0.08,-0.15,0.07,0.14,0.11,0.15,0.15,0.02,0.15,0.05,0.15,0.07,0.13,-0.06,0.01,-0.01,0.00,0.12,0.02,-0.07,-0.07,-0.06,0.01,0.01,0.01,0.01,0.04,0.03,-0.10,0.07,-0.05,0.04,0.01
Std2,-0.48,-0.49,-0.36,-0.16,-0.33,0.88,-0.34,0.27,0.25,0.31,0.59,0.81,0.71,0.65,0.08,1.00,0.30,0.14,0.18,-0.76,-0.31,-0.36,-0.49,-0.33,-0.34,-0.31,0.14,-0.38,-0.11,-0.31,0.36,0.35,-0.45,-0.38,0.19,-0.04,-0.11,-0.32,-0.31,-0.31,-0.33,-0.49,-0.47,0.24,-0.48,0.28,-0.44,-0.83
Svi,-0.51,-0.53,-0.99,-0.41,-1.00,0.31,0.41,1.00,0.11,0.04,0.50,0.36,0.30,0.27,-0.15,0.30,1.00,-0.11,-0.23,-0.52,-1.00,-0.99,-0.55,-1.00,-0.39,-0.45,-0.11,-0.49,0.00,-0.46,-0.30,0.47,-0.18,-0.47,0.40,-0.05,0.00,-0.46,-0.46,-0.46,-0.46,-0.53,-0.46,-0.06,-0.58,-0.09,0.03,-0.18
Stxr1,-0.02,-0.02,0.09,0.03,0.10,0.06,-0.29,-0.11,0.11,0.09,-0.04,0.05,0.14,-0.02,0.07,0.14,-0.11,1.00,0.94,0.02,0.11,0.09,-0.06,0.10,0.10,-0.11,1.00,0.03,-0.17,-0.01,0.11,0.02,-0.07,-0.02,0.00,0.07,-0.17,-0.01,-0.01,-0.01,-0.01,-0.02,-0.04,-0.01,-0.02,0.09,-0.11,-0.14
Stxr2,0.01,0.01,0.21,0.08,0.21,0.06,-0.51,-0.24,0.04,0.14,-0.12,0.05,0.15,-0.11,0.14,0.18,-0.23,0.94,1.00,0.09,0.23,0.21,-0.01,0.21,0.09,-0.03,0.94,0.06,-0.13,0.03,0.17,-0.02,-0.11,0.02,-0.03,0.09,-0.13,0.03,0.03,0.03,0.03,0.01,-0.01,-0.01,0.03,0.21,-0.22,-0.20
Ssc,0.68,0.69,0.59,0.47,0.56,-0.75,0.09,-0.48,-0.11,-0.10,-0.87,-0.76,-0.63,-0.79,0.11,-0.76,-0.52,0.02,0.09,1.00,0.52,0.59,0.65,0.56,0.57,0.45,0.02,0.64,0.06,0.57,-0.01,-0.58,0.36,0.64,-0.25,0.08,0.06,0.58,0.57,0.57,0.60,0.69,0.64,-0.32,0.71,0.11,0.06,0.58
Sv,0.52,0.54,0.99,0.42,1.00,-0.32,-0.41,-1.00,-0.12,-0.04,-0.51,-0.36,-0.30,-0.28,0.15,-0.31,-1.00,0.11,0.23,0.52,1.00,0.99,0.56,1.00,0.40,0.47,0.11,0.50,0.01,0.47,0.30,-0.48,0.19,0.48,-0.40,0.05,0.01,0.47,0.47,0.47,0.47,0.54,0.47,0.05,0.59,0.09,-0.03,0.18
Sph,0.63,0.65,1.00,0.52,1.00,-0.35,-0.31,-0.97,-0.11,-0.04,-0.56,-0.40,-0.34,-0.32,0.15,-0.36,-0.99,0.09,0.21,0.59,0.99,1.00,0.66,1.00,0.49,0.53,0.09,0.59,0.04,0.58,0.35,-0.59,0.21,0.59,-0.41,0.05,0.04,0.58,0.58,0.58,0.58,0.65,0.58,0.01,0.70,0.10,-0.03,0.22
Sk,0.96,0.96,0.66,0.80,0.61,-0.39,0.23,-0.49,-0.08,-0.18,-0.60,-0.42,-0.43,-0.44,0.02,-0.49,-0.55,-0.06,-0.01,0.65,0.56,0.66,1.00,0.61,0.60,0.62,-0.06,0.72,0.25,0.87,0.39,-0.89,0.22,0.88,-0.28,0.06,0.25,0.87,0.87,0.87,0.87,0.96,0.97,-0.14,0.95,0.15,-0.04,0.33
Smean,0.57,0.59,1.00,0.46,1.00,-0.33,-0.37,-0.99,-0.13,-0.03,-0.53,-0.38,-0.32,-0.30,0.15,-0.33,-1.00,0.10,0.21,0.56,1.00,1.00,0.61,1.00,0.42,0.52,0.10,0.53,0.04,0.52,0.33,-0.53,0.19,0.54,-0.41,0.05,0.04,0.52,0.52,0.52,0.53,0.59,0.52,0.03,0.65,0.10,-0.03,0.20
