func,ORNL,RMNP,CPER,WOOD
sa,18.12017155,50.19747353,5.00469193,16.59672865
sq,22.43297086,65.81577338,6.178938931,18.26419746
s10z,357.0542053,3007.969971,1657.714014,593.4057983
sdq,0.342245375,0.321227775,0.064150492,0.154000929
sdq6,239689.6481,2352086.878,1392827.701,473372.5103
sdr,0.000403154,4.46E-05,0.000210392,0.000274257
sbi,0.06935873,0.022442959,0.003734513,0.031287544
sci,-138.0447338,-1855.560317,-1211.680441,-371.7456896
ssk,0.482174561,1.365183151,-0.719893838,-0.156389366
sku,-0.136437949,1.299256466,-0.136665078,-1.484306035
sds,0.008013762,0.013575822,0.016361107,0.029330573
sfd,2.000000328,2.000000012,2.000000094,2.000000189
srw,10.1010101,10.1010101,10.1010101,10.1010101
srwi,0.052284178,0.08672773,0.069689646,0.057972288
shw,70.70707071,151.5151515,131.3131313,90.90909091
std,0,90,90,0
stdi,0.035073597,0.025551152,0.029485183,0.024958982
svi,-45.59433842,-531.9774142,-323.4019912,-104.7065134
stxr,0.727363641,0.730894293,0.727363641,0.724362115
ssc,-0.000921612,-0.000444031,-0.001200481,-0.001493303
sv,237.3630066,2679.159912,1626.670044,528.1229858
sph,357.8890076,3019.189941,1657.939941,593.8790283
sk,56.19832174,97.84592878,14.95881928,39.18895846
smean,282.4049832,2779.76613,1646.391481,559.2792774
spk,50.00486384,212.2376008,2.949675538,8.358006538
svk,14.32392712,29.9497649,13.36843393,18.20967293
scllow,1028.133301,1033.123901,1028.133301,1023.890625
sclhigh,1413.506592,1413.506592,1413.506592,1413.506592
sdc,34.45501709,86.60986328,3.389892578,10.1260376
