"Metric","Value"
"sa",0.908705293496477
"sq",1
"s10z",3.54483663318299
"sdq",0.00707658891367683
"sdq6",846.572612289234
"sdr",0.000206077029775577
"ssc",-0.000944388381190408
"sp",NA
"sv",1.70195197792335
"sk",2.14520362276663
"spk",0.455324990422019
"svk",0.993499400170739
"smean",0.852501484687344
"sbi",0.746297227790012
"sci",1.3117970061256
"svi",0.0348240073173917
"ssk",-0.156395679305556
"sku",-1.48433239047274
"sds",0.00712634201591903
"sdc",NA
"sfd",NA
"srw",9.75177248559817
"srw",0.0532550807051815
"srw",78.0141798847853
"srwi",NA
"shw",NA
"std",0
"std",0.0241149122329296
"stdi",NA
"str",NA
"scl",358.494415283203
"scl",291.375732421875
"scl",1415.75354003906
"scl",1415.75354003906
