"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34"
"1","range","CuTot","VRM","TPIv1","Sku","SCI","Stxr1","east","east","nor","nmodes","Ssk","Srw2","nmodes","Sdc","Sds","Std2","Sds","Srw3","VRM","Spk","MAD","rEnt","Sdr","SBI","SAR","Sk","Stxr2","stdv","stdv","Sv","range","Smean","CuPro"
"2","stdv","CuPro","CuPl","Svk","Sds","Srw3","Stxr2","Sku","nor","east","Ssc","TPIv1","CuPl","Ssc","Std2","Sfd","Ssc","Svk","Sdc","Srw2","Sdc","SAR","CuTot","Sfd","Sdq","Sk","Stxr2","Stxr1","Slope","Slope","SCI","Sv","SCI","Sku"
"3","Slope","rEnt","Ssk","Sfd","CuPro","Svk","Sku","Stxr1","nmodes","Srw3","TPIv1","Svk","nor","Std2","Srw2","CuPl","Srw2","Ssk","Srw2","Sku","Sk","VRM","Sfd","Stxr2","VRM","range","Sdq","MAD","Sdq","Sdq","range","Sk","Sv","Std2"
"4","Sk","SBI","SBI","Sdr","CuPl","Sv","nmodes","nmodes","CuTot","CuPl","Sfd","Ssc","rEnt","Sku","Ssk","Spk","Sdc","Spk","Sds","Srw3","Svk","SBI","Sdr","Stxr1","Slope","Slope","Stxr1","SBI","MAD","MAD","Sk","SCI","range","CuTot"
"5","SAR","Stxr2","Sfd","Spk","Std2","TPIv1","CuTot","Stxr2","CuPl","Spk","CuPro","rEnt","Srw3","Sdc","VRM","Svk","Sds","VRM","Sfd","Svk","SBI","Slope","VRM","CuTot","rEnt","MAD","Slope","Sk","Spk","Spk","Spk","Spk","Sdc","Sds"
"6","Sdq","Stxr1","Sdr","nmodes","Ssc","Smean","CuPro","Srw2","TPIv1","Ssc","Sdr","Std2","CuTot","VRM","Spk","TPIv1","nmodes","SAR","MAD","CuPl","Ssc","Ssc","TPIv1","SAR","Svk","Sdc","MAD","Sdq","Sk","Sdc","Svk","Svk","Sk","nor"
"7","MAD","Srw2","SCI","Ssk","Ssk","Ssk","Sds","Srw3","rEnt","CuPro","rEnt","Srw3","Sds","Srw2","Sds","Sdr","Sdr","Srw2","Ssc","Sdc","Srw3","Srw2","CuPro","Sds","Spk","Sds","SAR","SAR","Sdc","Svk","stdv","Smean","Spk","VRM"
"8","Sdc","Srw3","Sv","Stxr1","Srw2","Ssc","Svk","Ssc","Sku","Srw2","CuTot","SBI","Ssk","Srw3","CuPl","Srw3","Srw3","Std2","stdv","Sk","stdv","Sdq","CuPl","SBI","Sdr","VRM","Sdr","CuTot","range","SAR","Smean","Slope","Sdq","Spk"
"9","Spk","Std2","Smean","Sds","Srw3","nmodes","MAD","MAD","VRM","Svk","Sku","CuTot","Sdr","rEnt","Sfd","Sku","MAD","nmodes","rEnt","SBI","VRM","Srw3","Sds","TPIv1","range","Sdr","rEnt","range","Svk","range","MAD","MAD","Slope","CuPl"
"10","Smean","CuPl","rEnt","CuTot","VRM","nor","Srw3","Svk","MAD","Ssk","CuPl","Sfd","MAD","TPIv1","SAR","CuPro","Sku","Sdc","SAR","Std2","Std2","SCI","Ssc","Spk","stdv","Spk","range","Sdr","VRM","SBI","Slope","Sdq","stdv","Srw3"
"11","Sv","SCI","Sds","Sdc","nmodes","CuPl","SBI","TPIv1","Stxr1","Std2","SCI","VRM","Sfd","SAR","Ssc","VRM","Sk","rEnt","Svk","stdv","MAD","Sku","Stxr2","Srw2","Sku","rEnt","SBI","Sds","SAR","Sdr","Sdq","Sdc","Svk","Srw2"
"12","Sds","Sdr","Sdq","east","Spk","rEnt","rEnt","Sk","Std2","Sku","Sv","Stxr1","east","Sdq","Svk","Sdc","Stxr1","Sfd","Std2","MAD","Sku","Sfd","SAR","CuPro","Sfd","SBI","Sds","rEnt","Sdr","Sk","SAR","SAR","MAD","MAD"
"13","Ssc","Sv","Spk","Stxr2","Sdc","Srw2","Sk","Ssk","Sk","SCI","Smean","Sku","Sdc","MAD","range","nmodes","Sdq","TPIv1","SBI","CuTot","rEnt","Sv","Stxr1","rEnt","Ssk","Sdq","Sfd","CuPro","Stxr2","SCI","SBI","stdv","SAR","stdv"
"14","Svk","Smean","CuPro","Std2","CuTot","Stxr2","stdv","CuTot","stdv","nmodes","Ssk","Sdr","Std2","east","Sdr","MAD","Slope","Sk","VRM","Ssc","range","Std2","Sdc","VRM","SAR","Stxr2","VRM","Sfd","Sv","Sv","Sdc","Stxr2","Sdr","Sdq"
"15","Sdr","Sfd","Stxr2","SCI","range","MAD","TPIv1","Sdc","SBI","TPIv1","nor","Sk","TPIv1","Slope","Slope","Std2","Sv","Sdr","CuPl","TPIv1","Ssk","Smean","Svk","Sdc","SCI","Stxr1","Sdc","Spk","Stxr1","Smean","Sdr","Stxr1","SBI","Slope"
"16","SCI","Ssc","SAR","SBI","Svk","Sk","east","stdv","Srw2","Sfd","Std2","Spk","SCI","SCI","CuTot","Ssk","SCI","nor","Slope","Ssk","Sds","stdv","SBI","CuPl","Ssc","CuPl","stdv","Smean","Sfd","Sfd","Sds","VRM","Srw3","Sv"
"17","Sfd","Sku","Slope","Smean","nor","east","Sdc","CuPl","Svk","stdv","SAR","nmodes","Spk","Sv","Sdq","Srw2","Smean","Stxr1","CuPro","SAR","Stxr2","east","Ssk","range","Sds","CuTot","Std2","Slope","rEnt","Ssc","CuTot","Srw3","rEnt","Sdc"
"18","Srw2","TPIv1","Std2","nor","stdv","Spk","SAR","rEnt","Stxr2","Sk","Stxr1","nor","Sv","Smean","Srw3","CuTot","SBI","range","Sdq","SCI","CuTot","Spk","nmodes","Sdq","MAD","Srw3","Smean","Ssc","Smean","Stxr2","Stxr2","TPIv1","Sfd","Smean"
"19","Std2","Sds","Svk","Sv","east","Stxr1","Sdr","Spk","Sdc","Sv","Sk","Srw2","Smean","nor","rEnt","Sk","nor","CuPro","Sv","Spk","east","TPIv1","Std2","SCI","Sv","stdv","east","Sdc","SBI","rEnt","Stxr1","rEnt","TPIv1","range"
"20","VRM","Ssk","east","Srw3","TPIv1","Sdq","VRM","Std2","range","Smean","Slope","CuPro","stdv","Sfd","MAD","Stxr2","Sfd","Sv","Sku","range","Sdr","Sds","Spk","Ssc","Stxr2","Svk","CuPro","Sv","SCI","CuTot","CuPl","Sdr","Sku","Sk"
"21","Srw3","VRM","Sdc","SAR","SBI","SAR","CuPl","range","Spk","SBI","Sdq","CuPl","VRM","Spk","Stxr1","SBI","Svk","Sku","Smean","nmodes","CuPro","Sdr","Srw3","east","Sk","Std2","CuPl","SCI","Sku","east","Ssk","Ssc","Sds","SCI"
"22","nor","Sdc","Stxr1","CuPl","Smean","stdv","range","Slope","Sdr","Sdr","Srw3","Stxr2","Sku","Svk","TPIv1","east","VRM","east","TPIv1","Sdq","Srw2","range","stdv","Srw3","Std2","TPIv1","nor","TPIv1","Srw2","Srw3","Sku","CuTot","Srw2","Ssc"
"23","nmodes","Spk","MAD","Sk","Sfd","Slope","Spk","Sdq","SCI","range","VRM","Sv","Sk","Stxr1","CuPro","stdv","east","CuPl","Sk","Sv","SAR","nmodes","Srw2","Svk","Stxr1","Sfd","CuTot","Std2","CuPro","Srw2","Sfd","Std2","Ssk","Sdr"
"24","SBI","Sdq","stdv","Slope","Sk","range","nor","Sfd","Sds","MAD","Srw2","Sdq","Ssc","Sdr","SBI","Sv","Stxr2","SCI","SCI","Smean","Sdq","Sk","Sdq","MAD","Smean","Ssk","Ssc","east","Ssk","CuPro","TPIv1","SBI","Stxr2","rEnt"
"25","CuTot","nmodes","CuTot","Sdq","MAD","VRM","SCI","SBI","Slope","Sds","Sds","Smean","Svk","Stxr2","nor","nor","SAR","Slope","Sdr","Sdr","nmodes","CuTot","MAD","Sku","Sdc","SCI","TPIv1","Ssk","CuTot","Sku","Srw2","Sku","Std2","TPIv1"
"26","rEnt","nor","Srw2","CuPro","Sv","Sku","Ssc","Sv","Sv","Slope","east","SCI","nmodes","Ssk","Sku","SCI","range","CuTot","nor","Stxr1","TPIv1","Svk","Sv","Sv","nor","nor","Svk","CuPl","Sds","Stxr1","Srw3","Sds","Stxr1","SAR"
"27","CuPro","Slope","range","VRM","SCI","CuPro","Std2","CuPro","Smean","SAR","range","Slope","Slope","stdv","Sk","rEnt","CuTot","Smean","Ssk","Sds","Smean","rEnt","SCI","Smean","CuPl","nmodes","Srw2","nmodes","Srw3","VRM","CuPro","nmodes","VRM","Svk"
"28","TPIv1","east","nmodes","Srw2","Stxr2","Sds","Sdq","Smean","Sdq","CuTot","stdv","east","Stxr1","Sk","east","Stxr1","Spk","SBI","CuTot","CuPro","Sv","nor","east","Ssk","Srw2","Ssc","nmodes","Sku","CuPl","Sds","east","CuPl","nmodes","Stxr1"
"29","Sku","range","Sk","MAD","Slope","Sdc","Slope","SAR","CuPro","VRM","SBI","stdv","SBI","CuTot","SCI","Sdq","Ssk","Ssc","Spk","rEnt","CuPl","Stxr1","Smean","Std2","CuPro","Smean","Sku","Svk","nmodes","TPIv1","rEnt","CuPro","Ssc","Sfd"
"30","Ssk","Svk","Sku","Sku","rEnt","CuTot","Srw2","Sdr","Sfd","Sdc","Sdc","Sds","Stxr2","range","nmodes","Smean","TPIv1","Stxr2","east","nor","nor","CuPro","Sku","Sk","Srw3","Sv","Srw3","Srw2","Std2","CuPl","VRM","east","CuPl","nmodes"
"31","CuPl","SAR","Srw3","Ssc","Sdq","SBI","Smean","Sds","Ssk","Stxr1","MAD","Sdc","SAR","Sds","Sv","Slope","rEnt","stdv","Stxr2","Stxr2","SCI","Stxr2","Sk","nmodes","TPIv1","Srw2","SCI","VRM","nor","Std2","Ssc","Sfd","CuTot","east"
"32","Stxr1","stdv","TPIv1","range","Stxr1","Std2","Sfd","SCI","SAR","Sdq","Spk","MAD","Sdq","CuPro","Smean","Ssc","CuPro","Sdq","nmodes","east","Stxr1","Ssk","Slope","nor","nmodes","Sku","Sv","stdv","east","Ssk","Std2","Srw2","east","Stxr2"
"33","east","MAD","nor","stdv","Sdr","Sfd","Sv","VRM","Ssc","rEnt","Svk","SAR","range","CuPl","Stxr2","SAR","CuPl","MAD","range","Slope","Slope","CuPl","range","stdv","CuTot","east","Spk","nor","TPIv1","nmodes","nor","Ssk","nor","SBI"
"34","Stxr2","Sk","Ssc","rEnt","SAR","Sdr","Ssk","nor","Srw3","Stxr2","Stxr2","range","CuPro","SBI","stdv","range","stdv","Srw3","Stxr1","Sfd","Sfd","Sdc","nor","Slope","east","CuPro","Ssk","Srw3","Ssc","nor","nmodes","nor","CuPro","Ssk"
