"Cluster_1","Cluster_2","Cluster_3","Cluster_4","Cluster_5","Cluster_6"
"UNDE_1_1m","RMNP_1_1m","ORNL_1_1m","CPER_1_1m","RMNP_5_1m","OSBS_1_1m"
"UNDE_2_1m","RMNP_2_1m","ORNL_2_1m","CPER_2_1m","RMNP_6_1m","OSBS_2_1m"
"UNDE_3_1m","RMNP_3_1m","ORNL_3_1m","CPER_3_1m","RMNP_8_1m","OSBS_3_1m"
"UNDE_4_1m","RMNP_4_1m","ORNL_4_1m","CPER_4_1m","RMNP_9_1m","OSBS_4_1m"
"UNDE_5_1m","RMNP_7_1m","ORNL_5_1m","CPER_5_1m","MLBS_7_1m","OSBS_5_1m"
"UNDE_6_1m","TEAK_1_1m","ORNL_6_1m","CPER_6_1m","WREF_3_1m","OSBS_6_1m"
"UNDE_7_1m","TEAK_2_1m","ORNL_7_1m","CPER_7_1m","WREF_6_1m","OSBS_8_1m"
"UNDE_8_1m","TEAK_3_1m","ORNL_8_1m","CPER_8_1m","WREF_9_1m","OSBS_9_1m"
"UNDE_9_1m","TEAK_4_1m","ORNL_9_1m","CPER_9_1m",NA,NA
NA,"TEAK_5_1m","MLBS_1_1m","WOOD_1_1m",NA,NA
NA,"TEAK_6_1m","MLBS_2_1m","WOOD_2_1m",NA,NA
NA,"TEAK_7_1m","MLBS_3_1m","WOOD_3_1m",NA,NA
NA,"TEAK_8_1m","MLBS_4_1m","WOOD_4_1m",NA,NA
NA,"TEAK_9_1m","MLBS_5_1m","WOOD_5_1m",NA,NA
NA,NA,"MLBS_6_1m","WOOD_6_1m",NA,NA
NA,NA,"MLBS_8_1m","WOOD_7_1m",NA,NA
NA,NA,"MLBS_9_1m","WOOD_8_1m",NA,NA
NA,NA,"WREF_1_1m","WOOD_9_1m",NA,NA
NA,NA,"WREF_2_1m","CLBJ_1_1m",NA,NA
NA,NA,"WREF_4_1m","CLBJ_2_1m",NA,NA
NA,NA,"WREF_5_1m","CLBJ_3_1m",NA,NA
NA,NA,"WREF_7_1m","CLBJ_4_1m",NA,NA
NA,NA,"WREF_8_1m","CLBJ_5_1m",NA,NA
NA,NA,NA,"CLBJ_6_1m",NA,NA
NA,NA,NA,"CLBJ_7_1m",NA,NA
NA,NA,NA,"CLBJ_8_1m",NA,NA
NA,NA,NA,"CLBJ_9_1m",NA,NA
NA,NA,NA,"OAES_1_1m",NA,NA
NA,NA,NA,"OAES_2_1m",NA,NA
NA,NA,NA,"OAES_3_1m",NA,NA
NA,NA,NA,"OAES_4_1m",NA,NA
NA,NA,NA,"OAES_5_1m",NA,NA
NA,NA,NA,"OAES_6_1m",NA,NA
NA,NA,NA,"OAES_7_1m",NA,NA
NA,NA,NA,"OAES_8_1m",NA,NA
NA,NA,NA,"OAES_9_1m",NA,NA
NA,NA,NA,"OSBS_7_1m",NA,NA
