"file","func","value","site","tile","res"
"ORNL_2018_DEM_mosaic_2025-10-22_1_100m.tif","sa_1",15.9815286931992,"ORNL","1","100"
"ORNL_2018_DEM_mosaic_2025-10-22_1_10m.tif","sa_1",16.4192762963741,"ORNL","1","10"
"ORNL_2018_DEM_mosaic_2025-10-22_1_15m.tif","sa_1",16.4480851851005,"ORNL","1","15"
"ORNL_2018_DEM_mosaic_2025-10-22_1_1m.tif","sa_1",16.4259437820389,"ORNL","1","1"
"ORNL_2018_DEM_mosaic_2025-10-22_1_30m.tif","sa_1",16.4058536159682,"ORNL","1","30"
"ORNL_2018_DEM_mosaic_2025-10-22_1_50m.tif","sa_1",16.2930444498184,"ORNL","1","50"
"ORNL_2018_DEM_mosaic_2025-10-22_1_5m.tif","sa_1",16.4242356050597,"ORNL","1","5"
"ORNL_2018_DEM_mosaic_2025-10-22_2_100m.tif","sa_1",18.2676518615722,"ORNL","2","100"
"ORNL_2018_DEM_mosaic_2025-10-22_2_10m.tif","sa_1",18.7303974673045,"ORNL","2","10"
"ORNL_2018_DEM_mosaic_2025-10-22_2_15m.tif","sa_1",18.7506935739697,"ORNL","2","15"
"ORNL_2018_DEM_mosaic_2025-10-22_2_1m.tif","sa_1",18.739303066998,"ORNL","2","1"
"ORNL_2018_DEM_mosaic_2025-10-22_2_30m.tif","sa_1",18.7052254430309,"ORNL","2","30"
"ORNL_2018_DEM_mosaic_2025-10-22_2_50m.tif","sa_1",18.5857000287532,"ORNL","2","50"
"ORNL_2018_DEM_mosaic_2025-10-22_2_5m.tif","sa_1",18.7369816858472,"ORNL","2","5"
"ORNL_2018_DEM_mosaic_2025-10-22_3_100m.tif","sa_1",19.1143484069823,"ORNL","3","100"
"ORNL_2018_DEM_mosaic_2025-10-22_3_10m.tif","sa_1",19.4575231686004,"ORNL","3","10"
"ORNL_2018_DEM_mosaic_2025-10-22_3_15m.tif","sa_1",19.4600124116154,"ORNL","3","15"
"ORNL_2018_DEM_mosaic_2025-10-22_3_1m.tif","sa_1",19.4641913559909,"ORNL","3","1"
"ORNL_2018_DEM_mosaic_2025-10-22_3_30m.tif","sa_1",19.4235637255322,"ORNL","3","30"
"ORNL_2018_DEM_mosaic_2025-10-22_3_50m.tif","sa_1",19.3493395373581,"ORNL","3","50"
"ORNL_2018_DEM_mosaic_2025-10-22_3_5m.tif","sa_1",19.4623569812118,"ORNL","3","5"
"ORNL_2018_DEM_mosaic_2025-10-22_4_100m.tif","sa_1",14.4457263660431,"ORNL","4","100"
"ORNL_2018_DEM_mosaic_2025-10-22_4_10m.tif","sa_1",14.7798565605946,"ORNL","4","10"
"ORNL_2018_DEM_mosaic_2025-10-22_4_15m.tif","sa_1",14.7826737305575,"ORNL","4","15"
"ORNL_2018_DEM_mosaic_2025-10-22_4_1m.tif","sa_1",14.7878675285101,"ORNL","4","1"
"ORNL_2018_DEM_mosaic_2025-10-22_4_30m.tif","sa_1",14.7416116083703,"ORNL","4","30"
"ORNL_2018_DEM_mosaic_2025-10-22_4_50m.tif","sa_1",14.6539163023709,"ORNL","4","50"
"ORNL_2018_DEM_mosaic_2025-10-22_4_5m.tif","sa_1",14.7858086297299,"ORNL","4","5"
"ORNL_2018_DEM_mosaic_2025-10-22_5_100m.tif","sa_1",22.647071326828,"ORNL","5","100"
"ORNL_2018_DEM_mosaic_2025-10-22_5_10m.tif","sa_1",23.0656280883838,"ORNL","5","10"
"ORNL_2018_DEM_mosaic_2025-10-22_5_15m.tif","sa_1",23.0867068252586,"ORNL","5","15"
"ORNL_2018_DEM_mosaic_2025-10-22_5_1m.tif","sa_1",23.0731912674787,"ORNL","5","1"
"ORNL_2018_DEM_mosaic_2025-10-22_5_30m.tif","sa_1",23.0440183239625,"ORNL","5","30"
"ORNL_2018_DEM_mosaic_2025-10-22_5_50m.tif","sa_1",22.9435741787912,"ORNL","5","50"
"ORNL_2018_DEM_mosaic_2025-10-22_5_5m.tif","sa_1",23.0712785428593,"ORNL","5","5"
"ORNL_2018_DEM_mosaic_2025-10-22_6_100m.tif","sa_1",16.3315955257416,"ORNL","6","100"
"ORNL_2018_DEM_mosaic_2025-10-22_6_10m.tif","sa_1",16.9287039862091,"ORNL","6","10"
"ORNL_2018_DEM_mosaic_2025-10-22_6_15m.tif","sa_1",16.9398325944429,"ORNL","6","15"
"ORNL_2018_DEM_mosaic_2025-10-22_6_1m.tif","sa_1",16.9417598440988,"ORNL","6","1"
"ORNL_2018_DEM_mosaic_2025-10-22_6_30m.tif","sa_1",16.8674180289921,"ORNL","6","30"
"ORNL_2018_DEM_mosaic_2025-10-22_6_50m.tif","sa_1",16.6996961353305,"ORNL","6","50"
"ORNL_2018_DEM_mosaic_2025-10-22_6_5m.tif","sa_1",16.9384704031528,"ORNL","6","5"
"ORNL_2018_DEM_mosaic_2025-10-22_7_100m.tif","sa_1",33.4067959699631,"ORNL","7","100"
"ORNL_2018_DEM_mosaic_2025-10-22_7_10m.tif","sa_1",33.7949772603322,"ORNL","7","10"
"ORNL_2018_DEM_mosaic_2025-10-22_7_15m.tif","sa_1",34.0843730764175,"ORNL","7","15"
"ORNL_2018_DEM_mosaic_2025-10-22_7_1m.tif","sa_1",33.8015238009922,"ORNL","7","1"
"ORNL_2018_DEM_mosaic_2025-10-22_7_30m.tif","sa_1",34.0555947176525,"ORNL","7","30"
"ORNL_2018_DEM_mosaic_2025-10-22_7_50m.tif","sa_1",33.7014439649582,"ORNL","7","50"
"ORNL_2018_DEM_mosaic_2025-10-22_7_5m.tif","sa_1",33.7998924730176,"ORNL","7","5"
"ORNL_2018_DEM_mosaic_2025-10-22_8_100m.tif","sa_1",19.6883708156585,"ORNL","8","100"
"ORNL_2018_DEM_mosaic_2025-10-22_8_10m.tif","sa_1",20.0951704325922,"ORNL","8","10"
"ORNL_2018_DEM_mosaic_2025-10-22_8_15m.tif","sa_1",20.043714387935,"ORNL","8","15"
"ORNL_2018_DEM_mosaic_2025-10-22_8_1m.tif","sa_1",20.1026174078923,"ORNL","8","1"
"ORNL_2018_DEM_mosaic_2025-10-22_8_30m.tif","sa_1",20.0028846321385,"ORNL","8","30"
"ORNL_2018_DEM_mosaic_2025-10-22_8_50m.tif","sa_1",19.970475720358,"ORNL","8","50"
"ORNL_2018_DEM_mosaic_2025-10-22_8_5m.tif","sa_1",20.100653200414,"ORNL","8","5"
"ORNL_2018_DEM_mosaic_2025-10-22_9_100m.tif","sa_1",18.5050812374115,"ORNL","9","100"
"ORNL_2018_DEM_mosaic_2025-10-22_9_10m.tif","sa_1",19.0184045033679,"ORNL","9","10"
"ORNL_2018_DEM_mosaic_2025-10-22_9_15m.tif","sa_1",18.9598528423762,"ORNL","9","15"
"ORNL_2018_DEM_mosaic_2025-10-22_9_1m.tif","sa_1",19.0263041686678,"ORNL","9","1"
"ORNL_2018_DEM_mosaic_2025-10-22_9_30m.tif","sa_1",18.9180196074483,"ORNL","9","30"
"ORNL_2018_DEM_mosaic_2025-10-22_9_50m.tif","sa_1",18.8564643327952,"ORNL","9","50"
"ORNL_2018_DEM_mosaic_2025-10-22_9_5m.tif","sa_1",19.0242809976273,"ORNL","9","5"
"RMNP_2020_DEM_mosaic_2025-10-22_1_100m.tif","sa_1",42.4953862213135,"RMNP","1","100"
"RMNP_2020_DEM_mosaic_2025-10-22_1_10m.tif","sa_1",42.5571140297299,"RMNP","1","10"
"RMNP_2020_DEM_mosaic_2025-10-22_1_15m.tif","sa_1",42.8394979733554,"RMNP","1","15"
"RMNP_2020_DEM_mosaic_2025-10-22_1_1m.tif","sa_1",42.5589643020412,"RMNP","1","1"
"RMNP_2020_DEM_mosaic_2025-10-22_1_30m.tif","sa_1",42.8227072646338,"RMNP","1","30"
"RMNP_2020_DEM_mosaic_2025-10-22_1_50m.tif","sa_1",42.528048816109,"RMNP","1","50"
"RMNP_2020_DEM_mosaic_2025-10-22_1_5m.tif","sa_1",42.5584745789717,"RMNP","1","5"
"RMNP_2020_DEM_mosaic_2025-10-22_2_100m.tif","sa_1",39.9982521209717,"RMNP","2","100"
"RMNP_2020_DEM_mosaic_2025-10-22_2_10m.tif","sa_1",40.0561643893288,"RMNP","2","10"
