"Cluster_1","Cluster_2","Cluster_3","Cluster_4","Cluster_5","Cluster_6","Cluster_7","Cluster_8","Cluster_9","Cluster_10","Cluster_11"
"CLBJ_1","UNDE_1","MLBS_7","CPER_1","RMNP_7","OSBS_3","CPER_9","RMNP_5","RMNP_1","ORNL_1","MLBS_1"
"CLBJ_2","UNDE_2","WREF_3","CPER_2","TEAK_3","OSBS_4","WOOD_1","RMNP_6","RMNP_2","ORNL_2","MLBS_3"
"CLBJ_3","UNDE_3","WREF_5","CPER_3","TEAK_5","OSBS_5","WOOD_2","RMNP_8","RMNP_3","ORNL_3","MLBS_5"
"CLBJ_4","UNDE_4","WREF_6","CPER_4","TEAK_6","OSBS_6","WOOD_3","RMNP_9","RMNP_4","ORNL_4","MLBS_6"
"CLBJ_5","UNDE_5","WREF_9","CPER_5","TEAK_7","OSBS_8","WOOD_4",NA,"TEAK_1","ORNL_5","MLBS_8"
"CLBJ_6","UNDE_6",NA,"CPER_6","TEAK_9",NA,"WOOD_5",NA,"TEAK_2","ORNL_6","MLBS_9"
"CLBJ_7","UNDE_7",NA,"CPER_7",NA,NA,"WOOD_6",NA,"TEAK_4","ORNL_7",NA
"CLBJ_8","UNDE_8",NA,"CPER_8",NA,NA,"WOOD_7",NA,"TEAK_8","ORNL_8",NA
"CLBJ_9","UNDE_9",NA,NA,NA,NA,"WOOD_8",NA,NA,"ORNL_9",NA
"OAES_1",NA,NA,NA,NA,NA,"WOOD_9",NA,NA,"MLBS_2",NA
"OAES_2",NA,NA,NA,NA,NA,"OSBS_1",NA,NA,"MLBS_4",NA
"OAES_3",NA,NA,NA,NA,NA,"OSBS_2",NA,NA,"WREF_1",NA
"OAES_4",NA,NA,NA,NA,NA,"OSBS_7",NA,NA,"WREF_2",NA
"OAES_5",NA,NA,NA,NA,NA,"OSBS_9",NA,NA,"WREF_4",NA
"OAES_6",NA,NA,NA,NA,NA,NA,NA,NA,"WREF_7",NA
"OAES_7",NA,NA,NA,NA,NA,NA,NA,NA,"WREF_8",NA
"OAES_8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OAES_9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
