"func","value"
"sa",18.1201715472633
"sq",22.4329708635568
"s10z",357.054205322266
"sdq",0.342245374559156
"sdq6",239689.648126154
"sdr",0.000403154029799601
"sbi",0.0693587301395488
"sci",-138.044733846088
"ssk",0.482174560965553
"sku",-0.13643794910358
"sds",0.00801376175831788
"sfd",2.00000032751497
"srw",c(10.1010101010101, 0.0522841779655016, 70.7070707070707)
"std",c(0, 0.0350735966161814)
"svi",-45.5943384247493
"stxr",c(0.727363640713036, 0.555407357139538)
"ssc",-0.000921612054119466
"sv",237.363006591797
"sph",357.889007568359
"sk",56.1983217422555
"smean",282.404983176357
"spk",50.0048638364639
"svk",14.3239271188546
"scl",c(1028.13330078125, 785.071960449219, 1413.50659179688, 1413.50659179688)
"sdc",34.4550170898438
