"","sa_1","sq_1","s10z_1","sdq_1","sdq6_1","sdr_1","sbi_1","sci_1","ssk_1","sku_1","sds_1","sfd_1","srw_1","srw_2","srw_3","std_1","std_2","svi_1","stxr_1","stxr_2","ssc_1","sv_1","sph_1","sk_1","smean_1","spk_1","svk_1","scl_1","scl_2","sdc_1","curvature_1","tpi_1","tri_1","vrm_1","sar_1","raster.entropy_1","AdjSD_1","RIE_1","slope_1","northness_1","eastness_1","TPI_1","TRI_1","TRIriley_1","TRIrmsd_1","roughness_1"
"ORNL_2018_DEM_mosaic_2025-10-22_1.tif",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ORNL_2018_DEM_mosaic_2025-10-22_2.tif",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ORNL_2018_DEM_mosaic_2025-10-22_3.tif",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ORNL_2018_DEM_mosaic_2025-10-22_4.tif",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ORNL_2018_DEM_mosaic_2025-10-22_5.tif",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ORNL_2018_DEM_mosaic_2025-10-22_6.tif",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ORNL_2018_DEM_mosaic_2025-10-22_7.tif",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ORNL_2018_DEM_mosaic_2025-10-22_8.tif",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ORNL_2018_DEM_mosaic_2025-10-22_9.tif",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RMNP_2020_DEM_mosaic_2025-10-22_1.tif",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"RMNP_2020_DEM_mosaic_2025-10-22_2.tif",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"RMNP_2020_DEM_mosaic_2025-10-22_3.tif",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"RMNP_2020_DEM_mosaic_2025-10-22_4.tif",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"RMNP_2020_DEM_mosaic_2025-10-22_5.tif",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
